participant_id,is_primary_sample,prompt_id,prompt_name,model_id,company,model_name,prompt_adherence,visual_quality,indian_authenticity,overall_score,high_rating_flag
P01,True,P1,Red Banarasi Silk Saree,Model A,OpenAI,ChatGPT Images 2.5,4.0,4.0,3.0,3.6667,False
P01,True,P1,Red Banarasi Silk Saree,Model B,Google,Gemini 3.1 Pro Image,2.0,3.0,3.0,2.6667,False
P01,True,P1,Red Banarasi Silk Saree,Model C,Google,Gemini 3.5 Flash-Lite,3.0,3.0,3.0,3.0,False
P01,True,P2,Stainless Steel Tiffin Box,Model A,OpenAI,ChatGPT Images 2.5,4.0,4.0,4.0,4.0,True
P01,True,P2,Stainless Steel Tiffin Box,Model B,Google,Gemini 3.1 Pro Image,4.0,4.0,3.0,3.6667,False
P01,True,P2,Stainless Steel Tiffin Box,Model C,Google,Gemini 3.5 Flash-Lite,3.0,3.0,3.0,3.0,False
P01,True,P3,Festive Namkeen Snack Pouch,Model A,OpenAI,ChatGPT Images 2.5,3.0,3.0,2.0,2.6667,False
P01,True,P3,Festive Namkeen Snack Pouch,Model B,Google,Gemini 3.1 Pro Image,3.0,3.0,2.0,2.6667,False
P01,True,P3,Festive Namkeen Snack Pouch,Model C,Google,Gemini 3.5 Flash-Lite,2.0,2.0,2.0,2.0,False
P01,True,P4,Beige Cotton Kurta Set,Model A,OpenAI,ChatGPT Images 2.5,3.0,3.0,3.0,3.0,False
P01,True,P4,Beige Cotton Kurta Set,Model B,Google,Gemini 3.1 Pro Image,4.0,4.0,4.0,4.0,True
P01,True,P4,Beige Cotton Kurta Set,Model C,Google,Gemini 3.5 Flash-Lite,3.0,2.0,3.0,2.6667,False
P01,True,P5,Navy Blue Nehru Jacket,Model A,OpenAI,ChatGPT Images 2.5,4.0,4.0,4.0,4.0,True
P01,True,P5,Navy Blue Nehru Jacket,Model B,Google,Gemini 3.1 Pro Image,3.0,2.0,2.0,2.3333,False
P01,True,P5,Navy Blue Nehru Jacket,Model C,Google,Gemini 3.5 Flash-Lite,3.0,2.0,2.0,2.3333,False
P02,True,P1,Red Banarasi Silk Saree,Model A,OpenAI,ChatGPT Images 2.5,5.0,4.0,5.0,4.6667,True
P02,True,P1,Red Banarasi Silk Saree,Model B,Google,Gemini 3.1 Pro Image,3.0,2.0,3.0,2.6667,False
P02,True,P1,Red Banarasi Silk Saree,Model C,Google,Gemini 3.5 Flash-Lite,1.0,1.0,2.0,1.3333,False
P02,True,P2,Stainless Steel Tiffin Box,Model A,OpenAI,ChatGPT Images 2.5,5.0,5.0,5.0,5.0,True
P02,True,P2,Stainless Steel Tiffin Box,Model B,Google,Gemini 3.1 Pro Image,3.0,3.0,3.0,3.0,False
